iter	Passed	Remaining
1170	9086	29710
1171	9091	29696
1172	9098	29684
1173	9104	29670
1174	9110	29657
1175	9117	29646
1176	9122	29631
1177	9128	29616
1178	9134	29604
1179	9141	29593
1180	9148	29582
1181	9154	29569
1182	9161	29558
1183	9168	29549
1184	9174	29536
1185	9180	29523
1186	9187	29511
1187	9194	29501
1188	9200	29490
1189	9207	29480
1190	9213	29466
1191	9220	29454
1192	9226	29443
1193	9232	29429
1194	9239	29420
1195	9246	29407
1196	9253	29398
1197	9261	29390
1198	9267	29379
1199	9274	29369
1200	9281	29358
1201	9288	29349
1202	9295	29338
1203	9303	29332
1204	9310	29322
1205	9317	29312
1206	9325	29305
1207	9333	29298
1208	9341	29291
1209	9348	29282
1210	9356	29274
1211	9363	29265
1212	9370	29255
1213	9377	29244
1214	9383	29231
1215	9391	29224
1216	9398	29215
1217	9406	29207
1218	9413	29198
1219	9420	29188
1220	9427	29178
1221	9434	29168
1222	9441	29159
1223	9448	29148
1224	9457	29143
1225	9475	29167
1226	9486	29172
1227	9498	29175
1228	9508	29174
1229	9520	29179
1230	9531	29183
1231	9539	29177
1232	9549	29175
1233	9558	29171
1234	9569	29174
1235	9581	29177
1236	9590	29174
1237	9598	29168
1238	9607	29162
1239	9615	29157
1240	9624	29153
1241	9634	29150
1242	9642	29144
1243	9651	29140
1244	9659	29133
1245	9667	29127
1246	9676	29122
1247	9685	29117
1248	9693	29110
1249	9701	29103
1250	9709	29096
1251	9717	29091
1252	9724	29081
1253	9733	29076
1254	9740	29066
1255	9748	29060
1256	9755	29049
1257	9764	29044
1258	9770	29031
1259	9777	29023
1260	9785	29016
1261	9792	29006
1262	9800	28996
1263	9808	28990
1264	9815	28979
1265	9821	28969
1266	9829	28960
1267	9835	28948
1268	9842	28937
1269	9848	28925
1270	9855	28915
1271	9861	28903
1272	9868	28891
1273	9874	28880
1274	9881	28870
1275	9888	28858
1276	9894	28846
1277	9900	28833
1278	9907	28823
1279	9913	28811
1280	9919	28799
1281	9926	28788
1282	9932	28776
1283	9939	28765
1284	9945	28751
1285	9951	28740
1286	9957	28726
1287	9963	28713
1288	9969	28701
1289	9975	28688
1290	9980	28674
1291	9987	28663
1292	9992	28649
1293	9999	28637
1294	10005	28625
1295	10011	28613
1296	10018	28603
1297	10025	28592
1298	10031	28579
1299	10037	28569
1300	10043	28557
1301	10049	28543
1302	10055	28529
1303	10061	28517
1304	10068	28507
1305	10074	28494
1306	10079	28481
1307	10087	28471
1308	10092	28459
1309	10100	28452
1310	10107	28441
1311	10114	28430
1312	10121	28420
1313	10127	28408
1314	10133	28396
1315	10139	28384
1316	10145	28372
1317	10152	28361
1318	10159	28353
1319	10166	28344
1320	10173	28333
1321	10182	28328
1322	10189	28318
1323	10196	28310
1324	10203	28300
1325	10210	28291
1326	10218	28282
1327	10225	28274
1328	10232	28265
1329	10239	28254
1330	10247	28249
1331	10255	28242
1332	10263	28234
1333	10270	28224
1334	10277	28215
1335	10284	28204
1336	10290	28193
1337	10298	28186
1338	10305	28177
1339	10313	28169
1340	10320	28159
1341	10327	28151
1342	10335	28142
1343	10342	28133
1344	10349	28124
1345	10355	28113
1346	10363	28106
1347	10370	28095
1348	10377	28086
1349	10385	28078
1350	10392	28069
1351	10400	28063
1352	10407	28054
1353	10415	28045
1354	10421	28033
1355	10428	28026
1356	10435	28014
1357	10444	28010
1358	10450	27999
1359	10457	27989
1360	10464	27978
1361	10471	27971
1362	10479	27963
1363	10486	27953
1364	10493	27945
1365	10499	27932
1366	10507	27925
1367	10514	27915
1368	10521	27907
1369	10528	27896
1370	10534	27885
1371	10541	27874
1372	10548	27865
1373	10557	27860
1374	10563	27848
1375	10570	27838
1376	10577	27831
1377	10585	27823
1378	10592	27815
1379	10599	27805
1380	10606	27795
1381	10612	27782
1382	10619	27773
1383	10626	27763
1384	10633	27754
1385	10640	27744
1386	10646	27732
1387	10653	27722
1388	10659	27712
1389	10666	27701
1390	10673	27692
1391	10681	27684
1392	10688	27677
1393	10695	27666
1394	10702	27658
1395	10709	27647
1396	10716	27638
1397	10723	27630
1398	10730	27621
1399	10737	27611
1400	10743	27598
1401	10750	27588
1402	10757	27579
1403	10766	27574
1404	10774	27567
1405	10780	27557
1406	10786	27545
1407	10793	27535
1408	10799	27524
1409	10805	27511
1410	10812	27501
1411	10817	27487
1412	10824	27477
1413	10831	27468
1414	10837	27457
1415	10844	27447
1416	10850	27436
1417	10857	27426
1418	10864	27417
1419	10870	27406
1420	10877	27396
1421	10883	27385
1422	10889	27374
1423	10895	27362
1424	10902	27351
1425	10908	27340
1426	10914	27327
1427	10919	27314
1428	10925	27303
1429	10931	27291
1430	10938	27282
1431	10947	27277
1432	10954	27266
1433	10961	27258
1434	10969	27252
1435	10977	27245
1436	10985	27238
1437	10992	27230
1438	10999	27219
1439	11005	27207
1440	11012	27199
1441	11019	27188
1442	11027	27182
1443	11034	27173
1444	11040	27163
1445	11048	27155
1446	11055	27146
1447	11062	27136
1448	11068	27126
1449	11077	27119
1450	11083	27110
1451	11090	27100
1452	11096	27088
1453	11103	27079
1454	11110	27070
1455	11119	27066
1456	11127	27059
1457	11135	27051
1458	11141	27040
1459	11148	27030
1460	11155	27021
1461	11162	27013
1462	11169	27004
1463	11177	26997
1464	11184	26988
1465	11191	26979
1466	11198	26970
1467	11206	26963
1468	11214	26955
1469	11222	26949
1470	11230	26942
1471	11237	26932
1472	11245	26926
1473	11253	26920
1474	11261	26913
1475	11269	26905
1476	11276	26896
1477	11284	26890
1478	11292	26882
1479	11300	26876
1480	11307	26868
1481	11316	26862
1482	11323	26854
1483	11331	26846
1484	11339	26841
1485	11346	26830
1486	11352	26820
1487	11360	26812
1488	11366	26802
1489	11373	26793
1490	11381	26785
1491	11388	26775
1492	11394	26766
1493	11402	26757
1494	11408	26746
1495	11415	26738
1496	11423	26730
1497	11430	26721
1498	11436	26710
1499	11444	26702
1500	11449	26690
1501	11456	26680
1502	11463	26671
1503	11469	26661
1504	11476	26652
1505	11484	26643
1506	11490	26632
1507	11496	26622
1508	11502	26609
1509	11507	26597
1510	11514	26586
1511	11519	26574
1512	11525	26563
1513	11531	26552
1514	11537	26540
1515	11545	26533
1516	11551	26523
1517	11558	26513
1518	11564	26501
1519	11570	26489
1520	11576	26479
1521	11582	26468
1522	11589	26458
1523	11595	26446
1524	11601	26436
1525	11607	26425
1526	11614	26415
1527	11621	26407
1528	11628	26397
1529	11635	26388
1530	11642	26379
1531	11648	26368
1532	11653	26356
1533	11659	26344
1534	11665	26333
1535	11672	26324
1536	11678	26313
1537	11684	26302
1538	11690	26290
1539	11696	26279
1540	11702	26267
1541	11708	26257
1542	11715	26247
1543	11722	26238
1544	11728	26227
1545	11734	26216
1546	11740	26206
1547	11746	26194
1548	11753	26184
1549	11759	26174
1550	11765	26162
1551	11771	26152
1552	11777	26141
1553	11783	26130
1554	11790	26120
1555	11795	26107
1556	11801	26097
1557	11807	26086
1558	11813	26074
1559	11820	26065
1560	11826	26053
1561	11831	26042
1562	11838	26031
1563	11844	26021
1564	11850	26011
1565	11856	25998
1566	11863	25989
1567	11869	25979
1568	11874	25967
1569	11880	25955
1570	11886	25943
1571	11892	25933
1572	11898	25923
1573	11904	25911
1574	11910	25899
1575	11916	25888
1576	11921	25876
1577	11927	25865
1578	11933	25855
1579	11939	25843
1580	11945	25832
1581	11950	25820
1582	11957	25810
1583	11963	25799
1584	11970	25790
1585	11976	25779
1586	11982	25768
1587	11987	25756
1588	11993	25744
1589	11999	25735
1590	12005	25723
1591	12010	25711
1592	12017	25703
1593	12023	25692
1594	12030	25682
1595	12037	25673
1596	12043	25663
1597	12051	25655
1598	12056	25643
1599	12062	25632
1600	12068	25621
1601	12075	25613
1602	12082	25604
1603	12089	25595
1604	12095	25585
1605	12102	25576
1606	12109	25566
1607	12114	25555
1608	12122	25547
1609	12128	25537
1610	12134	25527
1611	12141	25517
1612	12148	25509
1613	12154	25498
1614	12160	25488
1615	12167	25478
1616	12173	25468
1617	12180	25459
1618	12186	25449
1619	12193	25439
1620	12200	25431
1621	12206	25420
1622	12212	25410
1623	12218	25400
1624	12223	25387
1625	12229	25376
1626	12235	25366
1627	12242	25357
1628	12249	25348
1629	12256	25340
1630	12262	25329
1631	12268	25318
1632	12274	25308
1633	12281	25298
1634	12288	25291
1635	12295	25281
1636	12302	25273
1637	12308	25263
1638	12314	25253
1639	12321	25244
1640	12328	25234
1641	12333	25223
1642	12340	25213
1643	12346	25204
1644	12353	25195
1645	12360	25186
1646	12366	25176
1647	12373	25167
1648	12380	25158
1649	12386	25149
1650	12394	25142
1651	12403	25136
1652	12411	25130
